,title,platform,release_date,other_platforms,metascore,user_score,developer,publisher,genre,players,rating,summary,url
0,Metroid Prime,gamecube,"Nov 17, 2002",,97,8.9,Retro Studios,Nintendo,"['Action', ',                                            ', 'Shooter', ',                                            ', 'First-Person', ',                                            ', 'Sci-Fi', ' ']",1 Player,T,"Samus returns in a new mission to unravel the mystery behind the ruined walls scattered across Tallon IV. In Metroid Prime, you'll play the role of this bounty hunter and view the world through her visor, which displays information ranging from current energy levels to ammunition. Equipped with a Power Beam and Gravity Suit, you must shoot locked switches, solve puzzles, and eliminate enemies. It's up to you to explore the world and recover more power-ups and weapons, which gradually open more gameplay areas.",https://metacritic.com/game/gamecube/metroid-prime
1,Grand Theft Auto: Vice City,playstation-2,"Oct 27, 2002","['PC', 'PlayStation 3', 'PlayStation 4']",95,8.8,Rockstar North,Rockstar Games,"['Action Adventure', ',                                            ', 'Modern', ' ']",1 Player,M,"[Metacritic's 2002 PS2 Game of the Year ] Welcome to Vice City. Welcome to the 1980s. Having just made it back onto the streets of Liberty City after a long stretch in maximum security, Tommy Vercetti is sent to Vice City by his old boss, Sonny Forelli. They were understandably nervous about his re-appearance in Liberty City, so a trip down south seemed like a good idea. But all does not go smoothly upon his arrival in the glamorous, hedonistic metropolis of Vice City. He's set up and is left with no money and no merchandise. Sonny wants his money back, but the biker gangs, Cuban gangsters, and corrupt politicians stand in his way. Most of Vice City seems to want Tommy dead. His only answer is to fight back and take over the city himself. Vice City offers vehicular pleasures to suit every taste. For the speed enthusiast, there's high-performance cars and motorbikes. For the sportsman, a powerboat or a golf buggy lets you enjoy the great outdoors. For those that need that sense of freedom and escape, why not charter a helicopter and see the beauty of Vice City from the air? [Rockstar]",https://metacritic.com/game/playstation-2/grand-theft-auto-vice-city
2,The Legend of Zelda: A Link to the Past,game-boy-advance,"Dec  3, 2002",,95,9.0,Capcom,Nintendo,"['Action Adventure', ',                                            ', 'Fantasy', ' ']",,E,"Now you have a link to one of the greatest adventures in The Legend of Zelda series.  The Legend of Zelda: A Link to the Past revives the classic SNES game on the Game Boy Advance and adds a new multiplayer mode.  In a Link to the Past, Link travels between the light world and the dark world, conquering fierce monsters and uncovering Hyrule's deepest secrets along the way.  Also included is Four Swords, which lets you play with up to three other players, slashing through dungeons and collecting rupees.  Whether you choose solo or competitive play, The Legend of Zelda will keep you occupied with its brain-bending puzzles and fun swashbuckling action.",https://metacritic.com/game/game-boy-advance/the-legend-of-zelda-a-link-to-the-past
3,Madden NFL 2003,playstation-2,"Aug 12, 2002",['PC'],95,7.7,EA Sports,EA Sports,"['Sports', ',                                            ', 'Traditional', ',                                            ', 'Football', ',                                            ', 'Sim', ' ']",1-2 ,E,"Take Your Game Online: Access an online community where you can meet, chat, and play head-to-head against other gamers. Audio Dream Team: Dynamic play-by-play and analysis by Madden and Michaels. All-New Mini-camp: Hop on John Madden's Cruiser Tour Bus and travel to all NFL cities to complete skilled tasks. Create-A-Playbook: Customize receiver routes, player formations, and your team's entire playbook. Deepest Franchise Mode Ever: Play 30 years of Franchise mode and draft players each season with tips from your scouts. [EA Sports]",https://metacritic.com/game/playstation-2/madden-nfl-2003
4,Tony Hawk's Pro Skater 4,playstation-2,"Oct 23, 2002",['PC'],94,8.3,Neversoft Entertainment,Activision,"['Sports', ',                                            ', 'Alternative', ',                                            ', 'Skateboarding', ' ']",1-8 ,T,"Build your skills, earn respect, and show that you've got what it takes to Go Pro.  190 progressively harder goals. No time clock, no constraints. Pro-specific challenges. Evolving levels. Interact with other skaters. Multi-player modes. Customize your game...Your career is what you make of it. [Activision]",https://metacritic.com/game/playstation-2/tony-hawks-pro-skater-4
5,Virtua Fighter 4,playstation-2,"Mar 17, 2002",,94,8.1,Sega AM2,Sega,"['Action', ',                                            ', 'Fighting', ',                                            ', '3D', ' ']",1-2 ,T,"Two new characters (Lei Fei and Vanessa Lewis) join 11 VF veterans, each with their own unique styles based on real martial arts. New counters and defensive moves allow players to switch up their stances and fighting styles mid-bout. Train a computer-controlled character through sparring and an easy-to-use rewards system, then pit your character against a friend's or challenge the arcade mode. [Sega]",https://metacritic.com/game/playstation-2/virtua-fighter-4
6,Tony Hawk's Pro Skater 3,xbox,"Mar  4, 2002","['PC', 'PlayStation 2']",93,7.2,Neversoft Entertainment,Activision,"['Sports', ',                                            ', 'Alternative', ',                                            ', 'Skateboarding', ' ']",1-4 ,T,"You may not be able to live like the legend, but now you can skate like him.  Skate as the legendary Tony Hawk or choose from a dream team of 12 top pro skaters, including old favorites like Lasek, Thomas, Muska, and Steamer, as well as new talent like Gilfberg, Caballero, Koston, and Mullen.  Or enjoy full customization abilities with the enhanced Create-a-Skater (now including female skaters) and the Skatepark Editor.  Travel from L.A. to Tokyo, Suburbia to Skater's Island performing challenges and meeting goals.  New moves include the Revert, which allows you to link vert tricks, and flatland tricks such as Caspers, the Primo, and Handstand Manual.  If you're good, you can even unlock hidden pro footage.",https://metacritic.com/game/xbox/tony-hawks-pro-skater-3
7,Tom Clancy's Splinter Cell,xbox,"Nov 17, 2002","['PC', 'PlayStation 2', 'PlayStation 3', 'Xbox 360']",93,8.6,Ubisoft Montreal,Ubisoft,"['Action Adventure', ',                                            ', 'Modern', ' ']",1 Player,T,"Infiltrate terrorists' positions, acquire critical intelligence by any means necessary, execute with extreme prejudice, and exit without a trace.  In Tom Clancy's Splinter Cell, you are Sam Fisher, a highly trained secret operative of the NSA's secret arm: Third Echelon.  Suit up with the latest classified field operative gear and weapons as you travel through diverse mission objectives.  The world's future is in your hands, as cyber terrorism and international tensions are about to explode into WWIII.",https://metacritic.com/game/xbox/tom-clancys-splinter-cell
8,Grand Theft Auto III,pc,"May 20, 2002","['PlayStation 2', 'PlayStation 4']",93,8.1,DMA Design,Rockstar Games,"['Action Adventure', ',                                            ', 'Modern', ',                                            ', 'Modern', ',                                            ', 'Open-World', ' ']",No Online Multiplayer,M,"The PC version features enhanced 3D audio. Environmentally scaled and referenced from the player's perspective. Create your own customizable Liberty City radio station, using the built-in mp3 player. State-of-the art visuals utilizing the latest PC hardware render the city more beautifully than ever in 32 bit color. The skinnable player character enables fans to create and upload their own skin textures and to use a scanned-in photo to play as themselves. [Rockstar]",https://metacritic.com/game/pc/grand-theft-auto-iii
9,NFL 2K3,playstation-2,"Aug 12, 2002",,93,7.2,Visual Concepts,Sega,"['Sports', ',                                            ', 'Traditional', ',                                            ', 'Football', ',                                            ', 'Sim', ' ']",1-2 ,E,"Get ready for a crowd of new features and improvements, including a completely new Franchise mode, thrilling new offensive and defensive animations, and broadcast-quality commentary regarded as the best in all of sports video games. Complete with all the updated rosters, the new NFL alignment changes, and completely redesigned stadiums, its time to hit the line hard and remember winning isn't a sometime thing: it's an all-time thing. [Sega]",https://metacritic.com/game/playstation-2/nfl-2k3
