,title,platform,release_date,other_platforms,metascore,user_score,developer,publisher,genre,players,rating,summary,url
0,Grand Theft Auto V,playstation-3,"Sep 17, 2013","['PC', 'PlayStation 4', 'PlayStation 5', 'Xbox 360', 'Xbox One', 'Xbox Series X']",97,8.3,Rockstar North,Rockstar Games,"['Modern', ',                                            ', 'Action Adventure', ',                                            ', 'Modern', ',                                            ', 'Open-World', ' ']",Up to 16 ,M,"Los Santos is a vast, sun-soaked metropolis full of self-help gurus, starlets and once-important, formerly-known-as celebrities. The city was once the envy of the Western world, but is now struggling to stay afloat in an era of economic uncertainty and reality TV. Amidst the chaos, three unique criminals plot their own chances of survival and success:  Franklin, a former street gangster in search of real opportunities and serious cheddar; Michael, a professional ex-con whose retirement is a lot less rosy than he hoped it would be; and Trevor, a violent maniac driven by the chance of a cheap high and the next big score. Quickly running out of options, the crew risks it all in a sequence of daring and dangerous heists that could set them up for life.",https://metacritic.com/game/playstation-3/grand-theft-auto-v
1,Grand Theft Auto V,xbox-360,"Sep 17, 2013","['PC', 'PlayStation 3', 'PlayStation 4', 'PlayStation 5', 'Xbox One', 'Xbox Series X']",97,8.3,Rockstar North,Rockstar Games,"['Modern', ',                                            ', 'Action Adventure', ',                                            ', 'Modern', ',                                            ', 'Open-World', ' ']",Up to 16 ,M,"Los Santos is a sprawling sun-soaked metropolis full of self-help gurus, starlets and once-important stars. The city was once the envy of the Western world, but is now struggling to stay relevant in an era of economic uncertainty and reality TV. Amidst the chaos, three very different criminals chart their own chances of survival and success:  Franklin, a former street gangster, now looking for real opportunities and fat stacks of cash; Michael, a professional ex-con whose retirement is significantly less rosy than he hoped it would be; and Trevor, a violent maniac driven by the chance of a cheap high and the next big score. Rapidly running out of options, the crew risks everything in a series of bolt and dangerous heists that could set them up for the long haul.",https://metacritic.com/game/xbox-360/grand-theft-auto-v
2,The Last of Us,playstation-3,"Jun 14, 2013",,95,9.2,Naughty Dog,SCEA,"['Modern', ',                                            ', 'Adventure', ',                                            ', 'General', ',                                            ', 'Action Adventure', ',                                            ', 'General', ',                                            ', 'Modern', ' ']",Up to 8 ,M,"Twenty years after a pandemic radically transformed known civilization, infected humans run amuck and survivors kill one another for sustenance and weapons - literally whatever they can get their hands on. Joel, a salty survivor, is hired to smuggle a fourteen-year-old girl, Ellie, out of a rough military quarantine, but what begins as a simple job quickly turns into a brutal journey across the country.",https://metacritic.com/game/playstation-3/the-last-of-us
3,BioShock Infinite,playstation-3,"Mar 26, 2013","['PC', 'Xbox 360']",94,8.5,Irrational Games,2K Games,"['Action', ',                                            ', 'Shooter', ',                                            ', 'Shooter', ',                                            ', 'First-Person', ',                                            ', 'Sci-Fi', ',                                            ', 'Sci-Fi', ',                                            ', 'Arcade', ' ']",No Online Multiplayer,M,"Once conceived as a floating symbol of American ideals at a time when the United States was emerging as a world power, Columbia has been dispatched to distant shores with great fanfare by a captivated public.  What begins as a brand new endeavor of hope turns drastically wrong as the city soon disappears into the clouds to whereabouts unknown. The player assumes the role of former Pinkerton agent Booker DeWitt, sent to the lost city to rescue Elizabeth, a young woman imprisoned there since childhood. He develops a relationship with Elizabeth, augmenting his abilities with hers so the pair may escape from a city that is literally falling from the sky. DeWitt must learn to fight foes in high-speed Sky-Line battles, engage in combat both indoors and amongst the clouds, and engage the power of dozens of new weapons and abilities.",https://metacritic.com/game/playstation-3/bioshock-infinite
4,BioShock Infinite,pc,"Mar 25, 2013","['PlayStation 3', 'Xbox 360']",94,8.6,Irrational Games,2K Games,"['Action', ',                                            ', 'Shooter', ',                                            ', 'Shooter', ',                                            ', 'First-Person', ',                                            ', 'Sci-Fi', ',                                            ', 'Sci-Fi', ',                                            ', 'Arcade', ' ']",No Online Multiplayer,M,"Initially conceived as a floating symbol of American ideals at a time when the United States was emerging as a world power, Columbia is sent to distant shores with great fanfare by a captivated public.  What begins as a fresh new endeavor of hope turns drastically wrong as the city soon disappears into the clouds to whereabouts unknown. The player takes on the role of former Pinkerton agent Booker DeWitt, sent to the lost city to rescue Elizabeth, a young lady imprisoned there since her childhood. He develops a relationship with Elizabeth, enhancing his abilities with hers so the pair may escape from a city that is literally falling from the sky. DeWitt has to learn to fight foes in high-speed Sky-Line battles, engage in combat both indoors and amongst the clouds, and harness the power of a myriad of new weapons and abilities.",https://metacritic.com/game/pc/bioshock-infinite
5,BioShock Infinite,xbox-360,"Mar 26, 2013","['PC', 'PlayStation 3']",93,8.5,Irrational Games,2K Games,"['Action', ',                                            ', 'Shooter', ',                                            ', 'Shooter', ',                                            ', 'First-Person', ',                                            ', 'Sci-Fi', ',                                            ', 'Sci-Fi', ',                                            ', 'Arcade', ' ']",No Online Multiplayer,M,"Thrust into the year 1912, players take on the role of former Pinkerton agent Booker DeWitt, who has traveled to the flying city of Columbia on a rescue mission. His target is Elizabeth, a young lady imprisoned since her childhood years. During their bold escape, Booker and Elizabeth form a powerful bond -- one which lets Booker enhance his own abilities with her world-altering control over the environment. As a team, they fight from high-speed Sky-Lines, in the streets and houses of Columbia, on giant Zeppelins and in the clouds, while simultaneously learning to harness an growing arsenal of weapons and abilities.",https://metacritic.com/game/xbox-360/bioshock-infinite
6,Super Mario 3D World,wii-u,"Nov 22, 2013",,93,8.9,Nintendo,Nintendo,"['Platformer', ',                                            ', '3D', ',                                            ', 'Action', ',                                            ', 'Platformer', ',                                            ', '3D', ' ']",No Online Multiplayer,E,By far the funnest Mario game in years! I urge anyone with a wii u to purchase this game. This is pure AAA grade Nintendo gaming. The local multiplayer is an absolute blast  anyone can join & leave whenever. Perfect game for families or hanging out with friends. Highly recommended!,https://metacritic.com/game/wii-u/super-mario-3d-world
7,Fire Emblem: Awakening,3ds,"Feb  4, 2013",,92,9.0,Intelligent Systems,Nintendo,"['Strategy', ',                                            ', 'Turn-Based', ',                                            ', 'Fantasy', ',                                            ', 'Fantasy', ',                                            ', 'Tactics', ' ']",No Online Multiplayer,T,"Lead an army of soldiers in a series of scaled turn-based strategy battles. In the process, develop relationships with your team, utilizing their special abilities on the battlefield to gain victory and advance the story, which features a wide array of characters from a variety of nations and backgrounds. They can be joined by a character of your making, with a unique appearance crafted as you see fit.",https://metacritic.com/game/3ds/fire-emblem-awakening
8,Rayman Legends,wii-u,"Sep  3, 2013","['PC', 'PlayStation 3', 'PlayStation 4', 'PlayStation Vita', 'Stadia', 'Xbox 360', 'Xbox One']",92,8.7,Ubisoft Montpellier,Ubisoft,"['Action', ',                                            ', 'Platformer', ',                                            ', 'Platformer', ',                                            ', '2D', ',                                            ', '2D', ' ']",No Online Multiplayer,E10+,"Rayman, Globox, and the Teensies are off wandering through an enchanted forest when they discover a mysterious tent filled with a series of captivating paintings. As they look more closely, they notice each painting seems to tell the story of a mythical world. While focusing on a painting that shows a medieval land, they are suddenly sucked into the painting, entering the world, and the adventure begins. The gang must run, jump and fight their way through each world to save the day and discover the secrets of every legendary painting. Rayman Legends takes full advantage of the Wii U and its new GamePad’s capabilities. Use the touch screen to take out enemies, manipulate platforms, cut ropes to clear a path and much more. With the gyroscope technology, you can move rotating platform and there are many more surprises to come.",https://metacritic.com/game/wii-u/rayman-legends
9,Fez,pc,"May  1, 2013","['iPhone/iPad', 'PlayStation 3', 'PlayStation 4', 'PlayStation Vita', 'Switch', 'Xbox 360']",91,6.7,Polytron Corp.,Trapdoor,"['Action', ',                                            ', 'Platformer', ',                                            ', 'Platformer', ',                                            ', '2D', ',                                            ', '2D', ' ']",No Online Multiplayer,E,"In my opinion this is one of the best games I've ever seen. The game isn't meant to be difficult, it is about letting your curiosity and sense of wonder move you through the world of FEZ.",https://metacritic.com/game/pc/fez
