,title,platform,release_date,other_platforms,metascore,user_score,developer,publisher,genre,players,rating,summary,url
0,Persona 5 Royal,pc,"Oct 21, 2022","['PlayStation 4', 'PlayStation 5', 'Switch', 'Xbox One', 'Xbox Series X']",97,8.9,Atlus,Sega,"['Role-Playing', ',                                            ', 'Japanese-Style', ' ']",No Online Multiplayer,,"Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona! Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life. Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth.",https://metacritic.com/game/pc/persona-5-royal
1,Elden Ring,xbox-series-x,"Feb 25, 2022","['PC', 'PlayStation 4', 'PlayStation 5', 'Xbox One']",96,7.7,From Software,Bandai Namco Games,"['Role-Playing', ',                                            ', 'Action RPG', ' ']",Up to 4 ,M,"A New World Created By Hidetaka Miyazaki And George R. R. Martin. ELDEN RING, developed by FromSoftware, Inc. and BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki creator of the influential DARK SOULS video game series; and George R.R. Martin author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Danger and discovery lurk around every corner in FromSoftware's largest game to-date.  Hidetaka Miyazaki, President and Game Director of FromSoftware Inc. Known for directing critically-acclaimed games in beloved franchises including Armored Core, Dark Souls, and Sekiro: Shadows Die Twice.  George R.R. Martin is the #1 New York Times bestselling author of many novels, including the acclaimed series A Song of Ice and Fire - A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast For Crows, and A Dance with Dragons. As a writer-producer, he has worked on The Twilight Zone, Beauty and the Beast, and various feature films and pilots that were never made.",https://metacritic.com/game/xbox-series-x/elden-ring
2,Elden Ring,playstation-5,"Feb 25, 2022","['PC', 'PlayStation 4', 'Xbox One', 'Xbox Series X']",96,7.9,From Software,Bandai Namco Games,"['Role-Playing', ',                                            ', 'Action RPG', ' ']",Up to 4 ,M,"A New World Created By Hidetaka Miyazaki And George R. R. Martin. ELDEN RING, developed by FromSoftware, Inc. and BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki creator of the influential DARK SOULS video game series; and George R.R. Martin author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Danger and discovery lurk around every corner in FromSoftware's largest game to-date.  Hidetaka Miyazaki, President and Game Director of FromSoftware Inc. Known for directing critically-acclaimed games in beloved franchises including Armored Core, Dark Souls, and Sekiro: Shadows Die Twice.  George R.R. Martin is the #1 New York Times bestselling author of many novels, including the acclaimed series A Song of Ice and Fire - A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast For Crows, and A Dance with Dragons. As a writer-producer, he has worked on The Twilight Zone, Beauty and the Beast, and various feature films and pilots that were never made.",https://metacritic.com/game/playstation-5/elden-ring
3,Portal Companion Collection,switch,"Jun 28, 2022",,96,8.3,Valve Software,Valve Software,"['Miscellaneous', ',                                            ', 'Compilation', ' ']",,,"Including Portal and Portal 2, the Companion Collection comes to Nintendo Switch™ with all the groundbreaking gameplay, dark humor, and exploration that earned the series hundreds of awards. In Portal, you’ll use a highly experimental portal device to solve physical puzzles and challenges. Maneuver objects--and yourself--through space to puzzle your way through the mysterious Aperture Science Laboratories. Return to Aperture Laboratories in Portal 2 where you’ll once again face off with the lethally inventive, power-mad A.I. named GLaDOS. Meet an expanded cast of characters as you think your way through dangerous, never-before-seen areas of the laboratories and a wider variety of portal puzzles. Plus Portal 2 also includes a co-operative game mode with local, split-screen and online multiplayer so you and a friend can think with portals.",https://metacritic.com/game/switch/portal-companion-collection
4,Persona 5 Royal,xbox-series-x,"Oct 21, 2022","['PC', 'PlayStation 4', 'PlayStation 5', 'Switch', 'Xbox One']",95,8.4,Atlus,Sega,"['Role-Playing', ',                                            ', 'Japanese-Style', ' ']",No Online Multiplayer,M,"Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona! Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life. Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth.",https://metacritic.com/game/xbox-series-x/persona-5-royal
5,Persona 5 Royal,switch,"Oct 21, 2022","['PC', 'PlayStation 4', 'PlayStation 5', 'Xbox One', 'Xbox Series X']",94,8.6,Atlus,Sega,"['Role-Playing', ',                                            ', 'Japanese-Style', ' ']",No Online Multiplayer,M,"Forced to transfer to a high school in Tokyo, the protagonist has a strange dream. ""You truly are a prisoner of fate. In the near future, ruin awaits you."" With the goal of ""rehabilitation"" looming overhead, he must save others from distorted desires by donning the mask of a Phantom Thief. Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona! Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life. Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth.",https://metacritic.com/game/switch/persona-5-royal
6,Elden Ring,pc,"Feb 25, 2022","['PlayStation 4', 'PlayStation 5', 'Xbox One', 'Xbox Series X']",94,6.8,From Software,Bandai Namco Games,"['Role-Playing', ',                                            ', 'Action RPG', ' ']",Up to 4 ,M,"A New World Created By Hidetaka Miyazaki And George R. R. Martin. ELDEN RING, developed by FromSoftware, Inc. and BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki creator of the influential DARK SOULS video game series; and George R.R. Martin author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Danger and discovery lurk around every corner in FromSoftware's largest game to-date.  Hidetaka Miyazaki, President and Game Director of FromSoftware Inc. Known for directing critically-acclaimed games in beloved franchises including Armored Core, Dark Souls, and Sekiro: Shadows Die Twice.  George R.R. Martin is the #1 New York Times bestselling author of many novels, including the acclaimed series A Song of Ice and Fire - A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast For Crows, and A Dance with Dragons. As a writer-producer, he has worked on The Twilight Zone, Beauty and the Beast, and various feature films and pilots that were never made.",https://metacritic.com/game/pc/elden-ring
7,The Stanley Parable: Ultra Deluxe,xbox-series-x,"Apr 27, 2022","['PC', 'PlayStation 4', 'PlayStation 5', 'Switch', 'Xbox One']",93,8.5,Crows Crows Crows,Galactic Cafe,"['Adventure', ',                                            ', '3D', ',                                            ', 'First-Person', ' ']",No Online Multiplayer,E10+,"Stanley had a choice, write a good review or write bad review, he chose... oh, that's not what you were supposed to put... how about we try again.Stanley had a choice, write a good review or write bad review, he chose... oh, that's not what you were supposed to put... how about we try again.Stanley had a choice, write a good review or write bad review, he chose... oh, that's not what you were supposed to put... how about we try again.Stanley had a choice, write a good review or write bad review, he chose... oh, that's not what you were supposed to put... how about we try again. ok you win, good game.",https://metacritic.com/game/xbox-series-x/the-stanley-parable-ultra-deluxe
8,God of War,pc,"Jan 14, 2022","['PlayStation 2', 'PlayStation 4']",93,8.6,SCE Santa Monica,PlayStation Studios,"['Action Adventure', ',                                            ', 'Linear', ' ']",No Online Multiplayer,M,"The God of War has changed... and this is not the Kratos you know. A difficult and unfamiliar road awaits as you explore a stunning retelling of a classic story. Join Kratos as he adventures through a deep and reflective journey of growth, violence and the desire to become a better man for the sake of his son. In a world of monsters, dragons and gods, the weight of responsibility rests heavy on your shoulders -- and when your life is filled with blood and chaos, how can you prevent the mistakes of the past in order to protect your future?",https://metacritic.com/game/pc/god-of-war
9,Cuphead in the Delicious Last Course,xbox-one,"Jun 30, 2022","['PC', 'PlayStation 4', 'Switch']",92,8.3,Studio MDHR,Studio MDHR,"['Action', ',                                            ', 'Platformer', ',                                            ', '2D', ' ']",No Online Multiplayer,E10+,"Another helping of classic Cuphead action awaits you in Cuphead - The Delicious Last Course! Brothers Cuphead and Mugman are joined by the clever, adventurous Ms. Chalice for a rollicking adventure on a previously undiscovered Inkwell Isle! With the aid of new weapons, magical charms, and Ms. Chalice’s unique abilities, players will take on a new cast of fearsome, larger than life bosses to assist the jolly Chef Saltbaker in Cuphead’s final challenging quest! ",https://metacritic.com/game/xbox-one/cuphead-in-the-delicious-last-course
