,title,platform,release_date,other_platforms,metascore,user_score,developer,publisher,genre,players,rating,summary,url
0,The Legend of Zelda: The Wind Waker,gamecube,"Mar 24, 2003",,96,9.0,Nintendo,Nintendo,"['Action Adventure', ',                                            ', 'Fantasy', ' ']",1 Player,E,"In this ninth entry in the Legend of Zelda series, Link debuts on GameCube with a fun new cel-shaded look, but the game stays true to the respected heritage of the series. The classic mix of sword-swinging action, perplexing puzzles and stirring story lines remains intact, but the stunning cel-shaded graphics give the people and places of Link's watery world a wildly artistic new look. And for the very first time, Link sails freely on the high seas. Join Link on his most epic and scenic adventure yet. Face unimaginable monsters, explore puzzling dungeons, and meet a cast of unforgettable characters as he searches for his kidnapped sister, Aryll. ",https://metacritic.com/game/gamecube/the-legend-of-zelda-the-wind-waker
1,Grand Theft Auto Double Pack,xbox,"Oct 31, 2003",['PlayStation 2'],96,8.1,Rockstar North,Rockstar Games,"['Miscellaneous', ',                                            ', 'Compilation', ' ']",1 Player,M,"From the dark and seedy streets of Liberty City's underworld to the glamorous hedonism of Vice City of the 1980s, the Grand Theft Auto double-pack takes you through the huge worlds of Grand Theft Auto III and it's sequel Vice City. The highly controversial Grand Theft Auto III gives you the freedom to go anywhere and jack anyone, putting the dark, intriguing and ruthless world of crime at your fingertips. Vice City is an entirely new game set in the '80s, preserving and adding to the free-roaming gameplay, cinematic graphics and immersive audio experience that made the Grand Theft Auto III so popular.",https://metacritic.com/game/xbox/grand-theft-auto-double-pack
2,The Legend of Zelda Collector's Edition,gamecube,"Nov 17, 2003",,95,8.9,Nintendo,Nintendo,"['Action Adventure', ',                                            ', 'Fantasy', ' ']",1 Player,E,"Receive Four Complete Classic Zelda games all on one disc when you buy the Zelda GameCube Bundle: The Legend of Zelda, Zelda II - The adventure of Link, The Legend of Zelda: Ocarina of Time, The Legend of Zelda: Majora's Mask. The disc also includes: Playable Demo of the Legend of Zelda: The Wind Waker, Zelda Retrospective Movie, The Legend of Zelda: The Wind Waker Movie Preview.",https://metacritic.com/game/gamecube/the-legend-of-zelda-collectors-edition
3,Grand Theft Auto: Vice City,pc,"May 12, 2003","['PlayStation 2', 'PlayStation 3', 'PlayStation 4']",94,8.7,Rockstar North,Rockstar Games,"['Action Adventure', ',                                            ', 'Modern', ',                                            ', 'Modern', ',                                            ', 'Open-World', ' ']",No Online Multiplayer,M,"[Metacritic's 2003 PC Game of the Year] The PC version has enhanced features including improved graphics and sound, additional PC controls, as well as several options for players to customize the game. ""Welcome to Vice City. Welcome to the 1980s."" Having just made it back onto the streets of Liberty City after a long stretch in maximum security, Tommy Vercetti is sent to Vice City by his old boss, Sonny Forelli. They were understandably nervous about his re-appearance in Liberty City, so a trip down south seemed like a good idea. But all does not go smoothly upon his arrival in the glamorous, hedonistic metropolis of Vice City. He's set up and is left with no money and no merchandise. Sonny wants his money back, but the biker gangs, Cuban gangsters, and corrupt politicians stand in his way. Most of Vice City seems to want Tommy dead. His only answer is to fight back and take over the city himself. Vice City offers vehicular pleasures to suit every taste. For the speed enthusiast, there's high-performance cars and motorbikes. For the sportsman, a powerboat or a golf buggy lets you enjoy the great outdoors. For those that need that sense of freedom and escape, why not charter a helicopter and see the beauty of Vice City from the air? [Rockstar]",https://metacritic.com/game/pc/grand-theft-auto-vice-city
4,Madden NFL 2004,playstation-2,"Aug 12, 2003",['PC'],94,8.2,EA Tiburon,EA Sports,"['Sports', ',                                            ', 'Traditional', ',                                            ', 'Football', ',                                            ', 'Sim', ' ']",1-8 ,E,"[Metacritic's 2003 Playstation 2 Game of the Year] Key Features for 2004 include New Playmaker Control - Make pre-snap adjustments to your receiver routes, direct receiver routes during a scramble, direct blocking down field during a run, or read and react to the offense to deliver a crushing tackle; New Owner Mode - Hire your own staff, set your team's ticket prices, build your own stadium, reward key players with signing bonuses and boost player attributes in Mini-Camp drills; Most Realistic NFL Playbooks Ever -  Tons of new trick plays, multiple formation variations, and the deepest NFL playbooks from all 32 officially licensed Coaches Club Head Coaches; New Animations and Enhancements - New QB scramble transitions to improve throwing on the run, stumbles, open field blocks, whirlwind defensive reaction moves, sideline wrap tackles, and out of bound pushes. [Electronic Arts]",https://metacritic.com/game/playstation-2/madden-nfl-2004
5,Super Mario Advance 4: Super Mario Bros. 3,game-boy-advance,"Oct 21, 2003",,94,8.9,Nintendo,Nintendo,"['Action', ',                                            ', 'Platformer', ',                                            ', '2D', ' ']",1-4 ,E,"A combination of exciting platforming action, wild power-ups, and charming Mario style has made Super Mario Bros. 3 a classic.  With Super Mario Advance 4: Super Mario Bros. 3, you have your chance to partake in the special adventure anywhere you go on your Game Boy Advance.  Your mission is to rescue the Mushroom Kingdom monarchs who have been transformed into animals by Bowser and his mischievous offspring, and in the process save the princess kidnapped by Bowser.  Traverse eight huge worlds and encounter fun minigames and frantic boss battles as you explore the first Mario game to use an overworld map.  ",https://metacritic.com/game/game-boy-advance/super-mario-advance-4-super-mario-bros-3
6,NCAA Football 2004,playstation-2,"Jul 16, 2003",,94,8.3,EA Sports,EA Sports,"['Sports', ',                                            ', 'Traditional', ',                                            ', 'Football', ',                                            ', 'Sim', ' ']",1-8 ,E,"Take the rivalry online: Battle Michigan vs. Ohio State, USC vs. Notre Dame, Oklahoma vs. Nebraska, and more in online head-to-head exhibition games. Chat or sing your favorite fight song in-game with EA SPORTS Talk, or follow the stat leaders across the country in the Online Top 100. Get in the end zone with new trick plays like the Halfback Throwback and Wide Receiver Double Reverse Pass. New animations include sideline tackles, stumbles, new over-the-shoulder and basket catches, user-controlled celebrations, and much more. See the receivers better through a new QB Rollout camera and use the Play-Action Pass camera to fake out the defense. New College Classics mode: Replay 20 of the greatest college football games from the last two decades. Take over the game at a key situation, relive the glorious victory, or change history with an upset. Over 150 new teams: Play as one of 36 new 1-AA teams or one of the 100+ NEW Classic Teams including 1930 Notre Dame, 1956 Oklahoma, 1972 USC, 1985 Auburn, and 2002 Ohio State. Continuing the dynasty: Project the season's top performers with the new Pre-Season All-American Team and revel in your weekly accomplishments with new Sports Illustrated magazine covers. [EA Sports]",https://metacritic.com/game/playstation-2/ncaa-football-2004
7,Star Wars: Knights of the Old Republic,xbox,"Jul 17, 2003","['iPhone/iPad', 'PC', 'Switch']",94,9.1,BioWare,LucasArts,"['Role-Playing', ',                                            ', 'Third-Person', ' ']",1 Player,T,"Long before the Galactic Civil War, an epic drama begins.  Engage in this saga set in the Golden Age of the Republic--over 4,000 years before the first Star Wars film, when both Jedi and Sith number in the thousands.  With the Galaxy reeling from a recent conflict with the Dark Lords, the ongoing battle between the Jedi and the Sith rages on.  It's up to guide your customizable and evolving characters through ten different worlds, fast-paced minigames, and locations including a Sith world, the Wookie homeworld, and the Jedi Academy.  Your actions determine the outcome of this colossal galactic war--and your destiny as a Jedi.  ",https://metacritic.com/game/xbox/star-wars-knights-of-the-old-republic
8,Madden NFL 2004,gamecube,"Aug 12, 2003","['PC', 'PlayStation 2']",94,7.0,EA Tiburon,EA Sports,"['Sports', ',                                            ', 'Traditional', ',                                            ', 'Football', ',                                            ', 'Sim', ' ']",1-4 ,E,"In its 14th season, Madden NFL Football isn't showing signs of slowing down. Madden NFL 2004 adds new features such as Playmaker Control and Owner Mode to it's deepen its football simulation. This year, players can make adjustments after the snap and create championship caliber plays with the easy-to-use Playmaker Control. The new Owner mode allows you build and manage your own stadium in addition to your own team. Compete against other players through EA Sports Online Tournaments. With new plays, modes, and online play, Madden NFL 2004 is the most complete, authentic installment in the series yet.",https://metacritic.com/game/gamecube/madden-nfl-2004
9,SSX 3,playstation-2,"Oct 20, 2003",['Xbox 360'],93,8.8,EA Canada,EA Sports Big,"['Sports', ',                                            ', 'Alternative', ',                                            ', 'Snowboarding', ' ']",1-2 ,E,"Embark on the ultimate adventure and conquer the mountain with SSX 3. Life begins at the summit where a wide-open mountain awaits you -- board it, explore it, and beat it. Featuring all-new freestyle events and race courses, jaw-dropping tricks, and a cast of cool, customizable characters, SSX 3 is yours to conquer. Redefine the boundaries what you do and what you earn, and go anywhere gravity takes you with SSX 3!  [Electronic Arts]",https://metacritic.com/game/playstation-2/ssx-3
