,title,platform,release_date,other_platforms,metascore,user_score,developer,publisher,genre,players,rating,summary,url
0,Tony Hawk's Pro Skater 3,playstation-2,"Oct 28, 2001",['PC'],97,7.5,Neversoft Entertainment,Activision,"['Sports', ',                                            ', 'Alternative', ',                                            ', 'Skateboarding', ' ']",1-2 ,T,"An extremely fun game with lots to do and hours of addiction. The game has many places to skate, including a foundry, suburbs, Los Angeles, and more! Tons of secrets are buried within the depths of THPS3, like locations from the first Pro Skater, and bonus skaters. Hundreds of tricks and even a PARK EDITOR make this game one of my top 5 favorite video games of all time!!",https://metacritic.com/game/playstation-2/tony-hawks-pro-skater-3
1,Grand Theft Auto III,playstation-2,"Oct 22, 2001","['PC', 'PlayStation 4']",97,8.4,DMA Design,Rockstar Games,"['Action Adventure', ',                                            ', 'Modern', ' ']",1 Player,M,"Players are put at the heart of their very own gangster movie, and let loose in a fully-realised 3 dimensional city with a cast of hundreds, 50 plus vehicles, ranging from sports cars to ice cream trucks and from boats to buses, 3 hours of music, including opera, reggae, house, drum and bass, pop and disco, and a huge array of street ready weapons.  [Rockstar Games]",https://metacritic.com/game/playstation-2/grand-theft-auto-iii
2,Halo: Combat Evolved,xbox,"Nov 14, 2001",['PC'],97,8.7,Bungie Software,Microsoft Game Studios,"['Action', ',                                            ', 'Shooter', ',                                            ', 'First-Person', ',                                            ', 'Sci-Fi', ' ']",1-4 ,M,"Enter the mysterious world of Halo, an alien planet shaped like a ring.  As mankind's super soldier Master Chief, you must uncover the secrets of Halo and fend off the attacking Covenant.  During your missions, you'll battle on foot, in vehicles, inside, and outside with alien and human weaponry.  Your objectives include attacking enemy outposts, raiding underground labs for advanced technology, rescuing fallen comrades, and sniping enemy forces.  Halo also lets you battle three other players via intense split screen combat or fight cooperatively with a friend through the single-player missions.  ",https://metacritic.com/game/xbox/halo-combat-evolved
3,Metal Gear Solid 2: Sons of Liberty,playstation-2,"Nov 12, 2001",,96,8.8,KCEJ,Konami,"['Action Adventure', ',                                            ', 'Modern', ' ']",1 Player,M,"Since the incident on Shadow Moses Island, Metal Gear's top-secret technology has been leaked into the black market through the machinations of Revolver Ocelot. As a result, countless variations of Metal Gears have sprung up in every corner of the globe, making the weapon an increasingly common component of the armed forces of nuclear powers. In the midst of all of this, Solid Snake, now a member of the anti-Metal Gear group ""Philanthropy,"" has learned that a new prototype Metal Gear has been developed by the U.S. Marines and is being transported in secret to an unknown destination. To learn more about this new machine, Snake must infiltrate the transport, disguised as a tanker, as it makes its way down the Hudson River. Just as Snake is about to begin his mission, however, the ship is seized by a mysterious and well-armed group bent on stealing the new Metal Gear for their own, nefarious purposes. [Konami]",https://metacritic.com/game/playstation-2/metal-gear-solid-2-sons-of-liberty
4,Gran Turismo 3: A-Spec,playstation-2,"Jul  9, 2001",,95,8.4,Polyphony Digital,SCEA,"['Driving', ',                                            ', 'Racing', ',                                            ', 'GT / Street', ' ']",1-2 ,E,"Incredible game, amazing graphics for the time and pretty much the best driving simulator that had come out at the time. This game had insane hype and it's one of those rare cases where a game this hyped lives up to it and then some.",https://metacritic.com/game/playstation-2/gran-turismo-3-a-spec
5,Tony Hawk's Pro Skater 2,game-boy-advance,"May 30, 2001","['iPhone/iPad', 'PC']",95,6.8,Vicarious Visions,Activision,"['Sports', ',                                            ', 'Alternative', ',                                            ', 'Skateboarding', ' ']",,E,"Hawks back, in the worlds first 3D handheld skating game, and hes brought new pros (Caballero, Koston, Mullen), New tricks (Bluntsides, BS/FS Nose-and Tailsides, Heelflip Varials, Airwalks, and more), and new terrain (Insane street and vert levels) Tony Hawks Pro Skater 2 for Game Boy Advance. Get your hands on a legend.",https://metacritic.com/game/game-boy-advance/tony-hawks-pro-skater-2
6,Devil May Cry,playstation-2,"Oct 16, 2001",['Switch'],94,8.6,Capcom,Capcom,"['Action Adventure', ',                                            ', 'Fantasy', ' ']",1 Player,M,"In a large American metropolis, a man named Dante, a private investigator of the supernatural, is seeking revenge for the death of his mother and brother. The world is waiting, for Dante is no ordinary man, and with his father's sword in hand, he must enter the demon realm and avenge mankind.  [Capcom]",https://metacritic.com/game/playstation-2/devil-may-cry
7,Madden NFL 2002,playstation-2,"Aug 19, 2001",['PC'],94,7.3,EA Sports,EA Sports,"['Sports', ',                                            ', 'Traditional', ',                                            ', 'Football', ',                                            ', 'Sim', ' ']",1-8 ,E," Every year Madden gets better and better. The game play is excellent, and the Franchise Mode, with the Texans is just awesome. Culpepper to Moss can't be stopped.",https://metacritic.com/game/playstation-2/madden-nfl-2002
8,Mario Kart Super Circuit,game-boy-advance,"Aug 26, 2001",,93,7.7,Intelligent Systems,Nintendo,"['Driving', ',                                            ', 'Racing', ',                                            ', 'Kart', ' ']",1-4 ,E,"Whoever hands out driver's licenses in the Mushroom Kingdom is about to be in some serious trouble.  Classic Mario Kart action is back once again, this time in a colorful, lightning-fast game that you can take anywhere.  Mario, Luigi, Peach, Toad, Wario, Yoshi, and Bowser are all tearing up the track, tossing Koopa Shells and laying banana peels along the way. Mario Kart: Super Circuit puts your driving skills to the test on 40 tracks, each littered with wild weapons and obstacles.  Four players can compete in Mario Kart: Super Circuit using only one Game Pak.  If each player has a copy of the game, bonus features and new modes of play become available.",https://metacritic.com/game/game-boy-advance/mario-kart-super-circuit
9,Paper Mario,nintendo-64,"Feb  5, 2001",,93,9.0,Intelligent Systems,Nintendo,"['Role-Playing', ',                                            ', 'Console-style RPG', ' ']",,E,"Mario pals around in an all-new action adventure! Mario's back in his first adventure since Super Mario 64, and this time, Bowser's bent on preventing a storybook ending. When Princess Peach is kidnapped, Mario plots to rescue the seven Star Spirits and rid the Mushroom Kingdom of Koopa's cruel cohorts. As he travels from the tropical jungles of Lavalava Island to the frosty heights of Shiver Mountain, he'll meet up with seven all-new companions... and he'll need help from each one or there'll be no happily ever after.",https://metacritic.com/game/nintendo-64/paper-mario
