,title,platform,release_date,other_platforms,metascore,user_score,developer,publisher,genre,players,rating,summary,url
0,Batman: Arkham City,playstation-3,"Oct 18, 2011","['PC', 'Xbox 360']",96,8.8,Rocksteady Studios,Warner Bros. Interactive Entertainment,"['Action Adventure', ',                                            ', 'Fantasy', ',                                            ', 'Fantasy', ',                                            ', 'Open-World', ' ']",No Online Multiplayer,T,"Developed by Rocksteady Studios, Batman: Arkham City builds upon the intense, atmospheric foundation of Batman: Arkham Asylum, sending players soaring into Arkham City, the new maximum security ""home"" for all of Gotham City's thugs, gangsters and insane criminal masterminds. Set inside the heavily fortified walls of a sprawling district in the heart of Gotham City, this highly anticipated sequel introduces a brand-new story that draws together a new all-star cast of classic characters and murderous villains from the Batman universe, as well as a vast range of new and enhanced gameplay features to deliver the ultimate experience as the Dark Knight. ",https://metacritic.com/game/playstation-3/batman-arkham-city
1,The Elder Scrolls V: Skyrim,xbox-360,"Nov 11, 2011","['PC', 'PlayStation 3']",96,8.6,Bethesda Game Studios,Bethesda Softworks,"['Role-Playing', ',                                            ', 'First-Person', ',                                            ', 'First-Person', ',                                            ', 'Western-Style', ' ']",No Online Multiplayer,M,"The next chapter in the Elder Scrolls saga arrives from the Bethesda Game Studios. Skyrim reimagines the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before. Skyrim's new game engine brings to life a complete virtual world with rolling clouds, rugged mountains, bustling cities, lush fields, and ancient dungeons. Choose from hundreds of weapons, spells, and abilities. The new character system allows you to play any way you want and define yourself through your actions. Battle ancient dragons like you've never seen. As Dragonborn, learn their secrets and harness their power for yourself.",https://metacritic.com/game/xbox-360/the-elder-scrolls-v-skyrim
2,Portal 2,pc,"Apr 18, 2011","['PlayStation 3', 'Xbox 360']",95,9.1,Valve Software,Valve Software,"['Action', ',                                            ', 'Shooter', ',                                            ', 'Shooter', ',                                            ', 'First-Person', ',                                            ', 'Sci-Fi', ',                                            ', 'Sci-Fi', ',                                            ', 'Arcade', ' ']",,E10+,"I love this game so much, I would never stop playing it if they made portal 3.Dear Valve, this game is great, and you really should consider making portal 3!",https://metacritic.com/game/pc/portal-2
3,Portal 2,xbox-360,"Apr 19, 2011","['PC', 'PlayStation 3']",95,8.8,Valve Software,Valve Software,"['Action', ',                                            ', 'Shooter', ',                                            ', 'Shooter', ',                                            ', 'First-Person', ',                                            ', 'Sci-Fi', ',                                            ', 'Sci-Fi', ',                                            ', 'Arcade', ' ']",2 ,E10+,"Portal 2 is the best one in its genre, yes you don't kill anyone but thinking with portals makes up for that. Aboslutely Brilliant. Thanks Valve! 10/10",https://metacritic.com/game/xbox-360/portal-2
4,Portal 2,playstation-3,"Apr 19, 2011","['PC', 'Xbox 360']",95,8.7,Valve Software,Valve Software,"['Action', ',                                            ', 'Shooter', ',                                            ', 'Shooter', ',                                            ', 'First-Person', ',                                            ', 'Sci-Fi', ',                                            ', 'Sci-Fi', ',                                            ', 'Arcade', ' ']",2 ,E10+,"Portal 2 is the sequel to the title named ""Game of the Year"" 2007 by over 30 publications around the world. Portal 2 promises to break new ground in next generation gaming by expanding the award-winning recipe of innovative gameplay, immersive story, and creative inclusion of music while also introducing multiplayer co-op game modes. ",https://metacritic.com/game/playstation-3/portal-2
5,The Elder Scrolls V: Skyrim,pc,"Nov 10, 2011","['PlayStation 3', 'Xbox 360']",94,8.4,Bethesda Game Studios,Bethesda Softworks,"['Role-Playing', ',                                            ', 'First-Person', ',                                            ', 'First-Person', ',                                            ', 'Western-Style', ' ']",No Online Multiplayer,M,"The next chapter in the Elder Scrolls saga arrives from the Bethesda Game Studios. Skyrim reimagines the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before. Skyrim's new game engine brings to life a complete virtual world with rolling clouds, rugged mountains, bustling cities, lush fields, and ancient dungeons. Choose from hundreds of weapons, spells, and abilities. The new character system allows you to play any way you want and define yourself through your actions. Battle ancient dragons like you've never seen. As Dragonborn, learn their secrets and harness their power for yourself.",https://metacritic.com/game/pc/the-elder-scrolls-v-skyrim
6,Batman: Arkham City,xbox-360,"Oct 18, 2011","['PC', 'PlayStation 3']",94,8.8,Rocksteady Studios,Warner Bros. Interactive Entertainment,"['Action Adventure', ',                                            ', 'Fantasy', ',                                            ', 'Fantasy', ',                                            ', 'Open-World', ' ']",No Online Multiplayer,T,"Developed by Rocksteady Studios, Batman: Arkham City builds upon the intense, atmospheric foundation of Batman: Arkham Asylum, sending players soaring into Arkham City, the new maximum security ""home"" for all of Gotham City's thugs, gangsters and insane criminal masterminds. Set inside the heavily fortified walls of a sprawling district in the heart of Gotham City, this highly anticipated sequel introduces a brand-new story that draws together a new all-star cast of classic characters and murderous villains from the Batman universe, as well as a vast range of new and enhanced gameplay features to deliver the ultimate experience as the Dark Knight. ",https://metacritic.com/game/xbox-360/batman-arkham-city
7,The Legend of Zelda: Ocarina of Time 3D,3ds,"Jun 19, 2011",,94,9.0,GREZZO,Nintendo,"['Miscellaneous', ',                                            ', 'Fantasy', ',                                            ', 'Fantasy', ',                                            ', 'Compilation', ',                                            ', 'Action Adventure', ',                                            ', 'Open-World', ' ']",No Online Multiplayer,E10+,"The Legend of Zelda: Ocarina of Time 3D takes the best-reviewed game of all time for a brand-new experience. Now in 3D all of the graphic textures and colors have been vastly improved, taking advantage of the considerable graphic power of the Nintendo 3DS system. This game tells the epic story of Hyrule and Link™, Zelda™, and Ganondorf in remarkable depth and gives context to the many tales of their struggles. As such, this title represents a perfect entry point for players new to the Zelda franchise. Phenomenally Improved Graphics Beyond even the incredible 3D effect, every graphic texture and character model has been lovingly built from the ground up to create the most dynamic and vivid vision of Zelda’s kingdom yet. This is Hyrule as you’ve always imagined it. Playing the Ocarina Link needs to play the eponymous Ocarina of Time many, many times over the course of the game. This involves a specific series of button presses to play one of the twelve songs in the game. In the original title, you would need to assign the ocarina to an item slot, then likely review the button prompts to your song, then play them from memory. The Nintendo 3DS version has the ocarina constantly available on the Touch Screen, and playing with the button prompts for each song right in front of you. Enhanced Game play While the greatest care has been taken to preserve the classic game play and story, a number of new features make this the definitive version of this extraordinary game.",https://metacritic.com/game/3ds/the-legend-of-zelda-ocarina-of-time-3d
8,Mass Effect 2,playstation-3,"Jan 17, 2011","['PC', 'Xbox 360']",94,8.7,BioWare,Electronic Arts,"['Role-Playing', ',                                            ', 'Action RPG', ',                                            ', 'Action RPG', ' ']",No Online Multiplayer,M,"The Mass Effect trilogy is an emotionally charged science fiction adventure set in a vast universe filled with dangerous alien life and mysterious, uncharted planets. In Mass Effect 2, players will once again step into the role of the heroic Commander Shepard, commanding their crew of some of the most dangerous operatives from across the galaxy on a mission so challenging that it's potentially suicidal. Featuring intense shooter action, a rich futuristic storyline, space exploration and emotionally engaging character interaction, the game delivers an unparalleled cinematic experience. ",https://metacritic.com/game/playstation-3/mass-effect-2
9,Minecraft,pc,"Nov 18, 2011","['3DS', 'PlayStation 3', 'PlayStation 4', 'PlayStation Vita', 'Switch', 'Wii U', 'Xbox 360', 'Xbox One']",93,8.1,Mojang AB,Mojang AB,"['Action Adventure', ',                                            ', 'Adventure', ',                                            ', '3D', ',                                            ', 'Sandbox', ',                                            ', 'First-Person', ',                                            ', 'Fantasy', ',                                            ', 'Fantasy', ' ']",Up to 10 ,E10+,"The game is truly a wonder of game-design. It features simple, intuitive, and interesting mechanics easily learned on the fly, yet it features an emergent depth of gameplay. The graphics are lo-res, yet charming, and reminiscent of old style 8-bit games, with a 3d touch. For the price, this is one of those games that you will not regret ever getting as before you realize it, you'll have spent hours and hours digging ""just one more tunnel. """,https://metacritic.com/game/pc/minecraft
