,title,platform,release_date,other_platforms,metascore,user_score,developer,publisher,genre,players,rating,summary,url
0,Persona 4 Golden,playstation-vita,"Nov 20, 2012","['PC', 'PlayStation 4', 'Switch', 'Xbox One', 'Xbox Series X']",93,8.6,Atlus,Atlus,"['Role-Playing', ',                                            ', 'Console-style RPG', ',                                            ', 'Console-style RPG', ',                                            ', 'Japanese-Style', ' ']",Up to 40 ,M,"A very heartwarming story full of suspense and mystery.The characters in this game connect and develop so well, their friendship is amazingly done and it's the most important thing in the entire game. The moments the characters share with each other is the core foundation of the story, and their team dynamic is what makes this game so special.The school trips and social events are also a very big part of the game and they flesh out the characters more.The gameplay is pretty solid and enjoyable, it's your typical Turn Based JRPG gameplay with some very few unique elements, but the menus are a little bit clunky.The social simulator aspect is easily the best part of the gameplay, I absolutely love going out with people and partaking in events, doing the little side stories and interacting with the world the game has to offer.As for the music, it's fantastic, I honestly didn't think I would like the music of this game as much because it's not my type of music, but it fits very well, it's light-hearted and a contradiction to the game's themes, in an excellent way.The only problem I have with the game is the bad and lazy dungeon design, and the backtracking gets tedious after a while. Every area looks identical to each other, there are pretty much no puzzles, and the floors are randomly generated.Also some plot-points are kind of goofy and very sudden, which left me with some unanswered questions. That being said I think most of the story is honestly very interesting, and I love how the game delves deeper into the ""murder mystery"" theme, giving you choices to uncover the secrets of Inaba.Where the game shines is the atmosphere, at times it's surprisingly disturbing but for the most part it's very welcoming. The color palette is warm, cute and unique, making you really feel immersed into the game, spending time with the characters and participating in the story.It has a ""family"" vibe to it like no other game, and it feels like home.Despite the few outdated mechanics, I absolutely adore this game and it's definitely one of the best JRPGs I've ever played.Final Rating: ""Excellent"" - 9.5/10.",https://metacritic.com/game/playstation-vita/persona-4-golden
1,Mass Effect 3,xbox-360,"Mar  6, 2012","['PC', 'PlayStation 3', 'Wii U']",93,6.0,BioWare,Electronic Arts,"['Role-Playing', ',                                            ', 'Action RPG', ',                                            ', 'Action RPG', ' ']",Up to 4 ,M,"BioWare completes the Mass Effect Trilogy with Mass Effect 3. Earth is burning. Striking from beyond known space, a race of terrifying machines have begun their destruction of the human race. As Commander Shepard, an Alliance Marine, the only hope for saving mankind is to rally the civilizations of the galaxy and launch one final mission to take back the Earth. ",https://metacritic.com/game/xbox-360/mass-effect-3
2,Mass Effect 3,playstation-3,"Mar  5, 2012","['PC', 'Wii U', 'Xbox 360']",93,5.8,BioWare,Electronic Arts,"['Role-Playing', ',                                            ', 'Action RPG', ',                                            ', 'Action RPG', ' ']",Up to 4 ,M,"BioWare completes the Mass Effect Trilogy with Mass Effect 3. Earth is burning. Striking from beyond known space, a race of terrifying machines have begun their destruction of the human race. As Commander Shepard, an Alliance Marine, the only hope for saving mankind is to rally the civilizations of the galaxy and launch one final mission to take back the Earth. ",https://metacritic.com/game/playstation-3/mass-effect-3
3,The Walking Dead: A Telltale Games Series,xbox-360,"Apr 27, 2012","['iPhone/iPad', 'PC', 'PlayStation 3', 'Switch']",92,8.6,Telltale Games,Telltale Games,"['Miscellaneous', ',                                            ', 'Adventure', ',                                            ', 'Compilation', ',                                            ', 'Compilation', ',                                            ', 'Point-and-Click', ' ']",No Online Multiplayer,M,"Based on Robert Kirkman's award-winning comic book series, The Walking Dead is about a world devastated by an undead apocalypse and the horrifying choices you're forced to make to survive. Assume the role of Lee Everett, a convicted criminal, who has been given a second chance at life in a world devastated by the undead. With corpses returning to life and survivors stopping at nothing to maintain their own safety, protecting an orphaned girl named Clementine may offer you redemption in a world gone to hell.",https://metacritic.com/game/xbox-360/the-walking-dead-a-telltale-games-series
4,Journey,playstation-3,"Mar 13, 2012","['iPhone/iPad', 'PC', 'PlayStation 4']",92,8.8,ThatGameCompany,SCEA,"['Action', ',                                            ', 'Adventure', ',                                            ', 'General', ',                                            ', 'Platformer', ',                                            ', 'Platformer', ',                                            ', '3D', ',                                            ', '3D', ' ']",No Online Multiplayer,E,"Enter the world of Journey, the third game from indie developers thatgamecompany (creators of ""flOw"" and ""Flower""). Journey is an interactive parable, an anonymous online adventure to experience a person’s life passage and their intersections with other’s. You wake alone and surrounded by miles of burning, sprawling desert, and soon discover the looming mountaintop which is your goal. Faced with rolling sand dunes, age-old ruins, caves and howling winds, your passage will not be an easy one. The goal is to get to the mountaintop, but the experience is discovering who you are, what this place is, and what is your purpose. Travel and explore this ancient, mysterious world alone, or with a stranger you meet along the way. Soar above ruins and glide across sands as you discover the secrets of a forgotten civilization. [thatgamecompany]",https://metacritic.com/game/playstation-3/journey
5,Xenoblade Chronicles,wii,"Apr  6, 2012",['3DS'],92,9.1,Monolith Soft,Nintendo,"['Role-Playing', ',                                            ', 'Action RPG', ',                                            ', 'Console-style RPG', ',                                            ', 'Action RPG', ' ']",No Online Multiplayer,T,"I could go on for hours mentioning everything that this game did right and why its perfect but forget about that.Just GO PLAY and see for yourself. Thank me later.",https://metacritic.com/game/wii/xenoblade-chronicles
6,Dishonored,pc,"Oct  8, 2012","['PlayStation 3', 'Xbox 360']",91,8.5,Arkane Studios,Bethesda Softworks,"['Action Adventure', ',                                            ', 'Modern', ',                                            ', 'General', ',                                            ', 'Modern', ' ']",No Online Multiplayer,M,"Approach each assassination with your own unique style. Use shadow and sound to your advantage to traverse silently through levels unseen by enemies, or attack foes head-on as they react to your aggression. The malleable combat system allows you to creatively synthesize your abilities, supernatural powers and gadgets as you negotiate your way through the levels and dispatch your targets. Improvise and adapt to define your modus operandi.",https://metacritic.com/game/pc/dishonored
7,Borderlands 2,playstation-3,"Sep 18, 2012","['PC', 'PlayStation Vita', 'Xbox 360', 'Xbox One']",91,8.2,Gearbox Software,2K Games,"['Action', ',                                            ', 'Shooter', ',                                            ', 'Shooter', ',                                            ', 'First-Person', ',                                            ', 'Sci-Fi', ',                                            ', 'Sci-Fi', ',                                            ', 'Arcade', ' ']",Up to 4 ,M,"Play as one of four new vault hunters facing off against a massive new world of creatures, psychos and the evil mastermind, Handsome Jack. Make new friends, arm them with a bazillion weapons and fight alongside them in 4 player co-op or split-screen on a relentless quest for revenge and redemption across the undiscovered and unpredictable living planet.",https://metacritic.com/game/playstation-3/borderlands-2
8,Mark of the Ninja,pc,"Oct 16, 2012",['Xbox 360'],91,8.0,Klei Entertainment,Microsoft Game Studios,"['Action', ',                                            ', 'Platformer', ',                                            ', 'Platformer', ',                                            ', '2D', ',                                            ', '2D', ' ']",No Online Multiplayer,M,"""Mark of the Ninja"" is a side-scrolling stealth action game from Klei Entertainment that combines fluid 2D animation with intense stealth gameplay. Observe your enemies from afar, manipulate them with your tools, and execute your plan with precision. But be careful - you're as fragile as you are powerful.",https://metacritic.com/game/pc/mark-of-the-ninja
9,Far Cry 3,xbox-360,"Dec  4, 2012","['PC', 'PlayStation 3', 'PlayStation 4', 'Xbox One']",91,8.6,Ubisoft Montreal,Ubisoft,"['Action', ',                                            ', 'Shooter', ',                                            ', 'Shooter', ',                                            ', 'First-Person', ',                                            ', 'Modern', ',                                            ', 'Modern', ',                                            ', 'Arcade', ' ']",Up to 4 ,M,"In Far Cry 3, players assume the role of Jason Brody, a figure alone at the edge of the world, stranded on a mysterious tropical island. In this savage paradise where anarchy and violence are the only sure thing, players dictate how the story unfolds, from the battles they elect to fight to the allies or enemies they make along the way. As Jason Brody, players slash, sneak, detonate and shoot their way across the island in a world that has lost its understanding of what's right and wrong.",https://metacritic.com/game/xbox-360/far-cry-3
